Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
WBGene00023193	-	I	-	3747	3909	2.846626	0.236949	0.311074
WBGene00022277	-	I	-	4116	10230	265.014526	22.059393	28.960249
WBGene00022276	-	I	+	11495	16837	939.459778	85.091164	111.710297
WBGene00022278	-	I	-	17487	26781	367.044556	32.135113	42.187962
WBGene00235381	-	I	-	22882	23600	49.275158	4.101587	5.384689
WBGene00022279	-	I	-	27591	32544	230.600647	19.194836	25.199570
WBGene00170953	-	I	+	31523	31543	2.452381	0.204132	0.267991
WBGene00173569	-	I	+	32415	32435	0.000000	0.000000	0.000000
WBGene00018773	-	I	+	113807	114704	189.046692	15.735949	20.658638
WBGene00000622	-	I	+	115739	117438	6.544238	0.667704	0.876583
WBGene00004962	-	I	+	118109	120870	72.684219	6.050120	7.942783
WBGene00022275	-	I	+	43733	44677	3.103428	0.258324	0.339136
WBGene00044345	-	I	+	47467	49857	243.502274	20.268747	26.609436
WBGene00021677	-	I	+	49919	54426	205.435776	22.120445	29.040400
WBGene00021678	-	I	-	55293	64066	47.747414	3.974420	5.217740
WBGene00000812	-	I	+	71425	81071	276.529938	26.467262	34.747036
WBGene00021683	-	I	+	81193	91020	145.990692	12.525472	16.443825
WBGene00021679	-	I	-	84991	86293	37.125336	3.090255	4.056981
WBGene00021682	-	I	+	91380	92877	239.431580	29.149534	38.268402
WBGene00021676	-	I	+	93024	94884	230.348923	19.173882	25.172062
WBGene00189949	-	I	-	94828	95367	168.688644	14.041378	18.433952
WBGene00021681	-	I	-	96544	108223	497.304749	41.436790	54.399490
WBGene00004274	-	I	-	108670	110107	3504.241455	303.399078	398.311676
WBGene00199899	-	I	-	110551	110771	0.226244	0.018832	0.024723
WBGene00199597	-	I	+	110576	110724	0.000000	0.000000	0.000000
WBGene00004418	-	I	+	111038	112295	36285.574219	3107.414551	4079.509766
WBGene00202494	-	I	-	111287	111436	2.001875	0.166633	0.218761
WBGene00023461	-	I	+	111292	111425	3.514335	0.292528	0.384039
WBGene00018774	-	I	+	112285	113721	13.999124	1.404210	1.843490
WBGene00018772	-	I	+	134337	137282	6.759326	0.562636	0.738645
WBGene00003229	-	I	+	127297	134065	1443.391724	126.743370	166.392593
WBGene00018771	-	I	+	137845	144565	4.517124	0.375998	0.493622
WBGene00000253	-	I	-	146486	154850	103.203011	8.590457	11.277815
WBGene00004225	-	I	-	160172	166819	118.014458	9.894947	12.990392
WBGene00018958	-	I	+	171340	175989	76.588509	6.645016	8.723782
WBGene00018957	-	I	+	178538	182161	136.436920	16.952085	22.255217
WBGene00018955	-	I	-	182079	182772	132.605011	11.037832	14.490806
WBGene00021672	-	I	-	238616	239021	0.000000	0.000000	0.000000
WBGene00021668	-	I	+	240491	245414	0.000000	0.000000	0.000000
WBGene00021673	-	I	-	248624	251580	24.859808	2.069291	2.716629
WBGene00000227	-	I	+	183364	208465	94.774338	10.178406	13.362525
WBGene00023295	-	I	+	185335	185409	0.288889	0.024047	0.031569
WBGene00021666	-	I	+	209281	211732	9.779606	0.814039	1.068695
WBGene00004246	-	I	-	212256	215491	550.103638	45.789761	60.114204
WBGene00021662	-	I	+	216028	216996	64.267662	5.349539	7.023040
WBGene00255594	-	I	+	218060	219099	16.940928	1.410136	1.851270
WBGene00021664	-	I	-	219735	221575	139.162872	11.583699	15.207437
WBGene00021671	-	I	-	231692	238252	12.005442	0.999314	1.311930
WBGene00220069	-	I	-	263502	263618	0.854701	0.071144	0.093400
WBGene00021667	-	I	+	252118	254277	65.348114	5.439474	7.141109
WBGene00021675	-	I	-	254277	259157	162.633667	13.537371	17.772276
WBGene00016904	-	I	+	280120	280445	12.653154	1.053229	1.382711
WBGene00016903	-	I	+	283500	286115	21.908031	1.823590	2.394065
WBGene00016905	-	I	-	286088	289185	71.539116	10.089746	13.246129
WBGene00016902	-	I	+	291215	305468	59.286652	10.637105	13.964719
WBGene00016906	-	I	-	305811	311130	104.027321	9.399984	12.340589
WBGene00002077	-	I	-	310981	314989	2410.236084	200.624268	263.385712
WBGene00235385	-	I	-	316637	318258	32.140133	2.675294	3.512208
WBGene00002079	-	I	-	318390	323352	756.567871	107.948006	141.717453
WBGene00021660	-	I	+	323855	330978	304.308960	25.330198	33.254265
WBGene00000917	-	I	+	332611	337839	222.520157	18.522228	24.316553
WBGene00021661	-	I	-	343069	348424	105.000648	9.075678	11.914829
WBGene00021658	-	I	+	347469	348357	272.028717	22.643242	29.726744
WBGene00021657	-	I	+	348460	357193	78.990746	6.575066	8.631948
WBGene00020087	-	I	-	357240	363901	75.696709	6.300875	8.271983
WBGene00020091	-	I	+	364510	368319	719.691650	95.012405	124.735191
WBGene00020088	-	I	-	368370	373445	185.029892	15.401597	20.219690
WBGene00020089	-	I	-	373571	379073	562.939941	46.858238	61.516937
WBGene00004143	-	I	-	379071	381902	3386.556396	281.891632	370.075989
WBGene00006385	-	I	+	382648	388564	224.286179	18.669230	24.509537
WBGene00020090	-	I	-	388470	394415	39.156590	3.315578	4.352793
WBGene00015570	-	I	+	420922	423713	7.565881	0.629772	0.826784
WBGene00021733	-	I	+	398891	412915	244.507736	24.705706	32.434410
WBGene00021734	-	I	-	412911	418660	3.016380	0.251079	0.329624
WBGene00006593	-	I	+	443999	461605	181.097549	15.074275	19.789972
WBGene00235387	-	I	+	471135	473890	3.587073	0.298582	0.391988
WBGene00021025	-	I	+	477582	481954	0.396040	0.032966	0.043278
WBGene00235388	-	I	-	482040	483880	1.348153	0.112218	0.147323
WBGene00021026	-	I	+	461995	462651	999.751160	83.217712	109.250778
WBGene00021027	-	I	-	462657	467131	5.762067	0.479625	0.629667
WBGene00166632	-	I	+	463304	463324	0.000000	0.000000	0.000000
WBGene00021028	-	I	-	484126	487990	10.607971	0.882991	1.159217
WBGene00002393	-	I	+	557375	561671	19.992601	3.684918	4.837674
WBGene00004235	-	I	+	550696	556638	157.683029	13.125287	17.231281
WBGene00202444	-	I	+	553658	553785	0.000000	0.000000	0.000000
WBGene00022040	-	I	+	562736	565181	8.517857	0.709013	0.930814
WBGene00000434	-	I	-	565436	566414	3.074310	0.255901	0.335954
WBGene00021024	-	I	+	488607	489905	1226.690186	102.107758	134.050217
WBGene00001814	-	I	+	489969	496150	353.028839	29.500299	38.728901
WBGene00022035	-	I	-	496144	502042	120.277542	12.643760	16.599117
WBGene00022036	-	I	-	502932	506250	264.958862	22.054760	28.954166
WBGene00022034	-	I	+	506469	509056	992.300659	82.770218	108.663292
WBGene00022039	-	I	-	508850	511051	53.821953	6.127720	8.044661
WBGene00022037	-	I	-	511052	519800	1488.833984	134.303207	176.317368
WBGene00196781	-	I	+	512017	512166	0.000000	0.000000	0.000000
WBGene00196389	-	I	+	514364	514492	0.426357	0.035489	0.046591
WBGene00022038	-	I	-	520109	521554	118.942619	12.721401	16.701046
WBGene00195369	-	I	-	526048	526139	0.000000	0.000000	0.000000
WBGene00197961	-	I	+	530215	530326	0.000000	0.000000	0.000000
WBGene00200577	-	I	-	530395	530683	0.000000	0.000000	0.000000
WBGene00022033	-	I	+	530969	533084	168.739532	17.001642	22.320278
WBGene00220190	-	I	+	532968	533039	0.854843	0.071156	0.093416
WBGene00022043	-	I	+	534455	535344	312.775513	26.034943	34.179474
WBGene00022042	-	I	+	535791	536670	5632.122070	537.130859	705.161926
WBGene00201456	-	I	-	536804	536931	0.390625	0.032515	0.042687
WBGene00007009	-	I	+	537122	542200	788.342285	67.026466	87.994400
WBGene00220191	-	I	+	539086	539242	0.000000	0.000000	0.000000
WBGene00044427	-	I	-	582288	583748	0.000000	0.000000	0.000000
WBGene00235390	-	I	+	585119	585376	0.000000	0.000000	0.000000
WBGene00001725	-	I	-	572177	575120	1976.095703	179.822067	236.075943
WBGene00200417	-	I	-	613290	613379	0.000000	0.000000	0.000000
WBGene00201449	-	I	+	613290	613379	0.000000	0.000000	0.000000
WBGene00002040	-	I	-	585831	607601	58.452122	4.892099	6.422497
WBGene00018923	-	I	-	614651	629444	237.589294	26.574100	34.887295
WBGene00018921	-	I	+	618160	621490	417.215302	35.373783	46.439789
WBGene00022028	-	I	+	621708	622187	40.778667	3.394352	4.456210
WBGene00022029	-	I	-	629492	636350	445.338715	91.382668	119.969978
WBGene00220188	-	I	-	630006	630218	0.197229	0.016417	0.021553
WBGene00220189	-	I	-	630926	631035	10.994243	0.915143	1.201429
WBGene00022027	-	I	+	636804	637852	602.604492	50.159851	65.851395
WBGene00022026	-	I	+	638129	653986	25.482830	5.522000	7.249452
WBGene00022030	-	I	-	645626	647242	52.363274	6.559876	8.612006
WBGene00022025	-	I	+	654090	658810	312.775574	26.034946	34.179482
WBGene00022031	-	I	-	659557	663686	163.053757	14.164215	18.595217
WBGene00044461	-	I	-	667615	674413	0.881766	0.073397	0.096358
WBGene00022032	-	I	-	664426	666900	109.935310	10.528969	13.822754
WBGene00021215	-	I	+	680408	683472	51.362843	5.715011	7.502841
WBGene00021214	-	I	-	682876	686599	52.784168	4.393671	5.768147
WBGene00021207	-	I	+	688286	691267	85.922768	7.152076	9.389465
WBGene00021210	-	I	-	692026	694948	263.760712	24.898697	32.687771
WBGene00021208	-	I	-	694982	698322	220.216125	18.330444	24.064772
WBGene00236789	-	I	+	740835	741878	4.757668	0.396021	0.519908
WBGene00000623	-	I	-	741913	745570	29.668463	2.469556	3.242110
WBGene00198328	-	I	-	742120	742286	0.796407	0.066292	0.087030
WBGene00021209	-	I	-	700274	715874	204.491669	26.362232	34.609146
WBGene00004332	-	I	-	717893	719816	108.233490	11.453111	15.035996
WBGene00004028	-	I	+	719929	731078	125.314438	14.913818	19.579319
WBGene00044434	-	I	-	731068	736552	36.364315	3.026909	3.973819
WBGene00000624	-	I	+	745859	748288	15.897382	1.563302	2.052351
WBGene00021213	-	I	-	748228	757010	79.240570	6.595860	8.659248
WBGene00023169	-	I	+	754680	754763	0.000000	0.000000	0.000000
WBGene00197162	-	I	+	757536	757618	5.433735	0.452296	0.593787
WBGene00021212	-	I	+	758756	760429	17.375000	2.422326	3.180104
WBGene00020282	-	I	-	760848	761849	131.855988	10.975486	14.408954
WBGene00020283	-	I	+	763597	770720	168.281769	15.601192	20.481724
WBGene00020281	-	I	+	770892	776369	28.412518	2.383642	3.129318
WBGene00196394	-	I	+	774365	774585	0.452489	0.037664	0.049447
WBGene00196011	-	I	-	774439	774584	0.684932	0.057013	0.074848
WBGene00022518	-	I	+	803368	835277	80.354202	11.656051	15.302422
WBGene00023398	-	I	+	803800	803872	0.000000	0.000000	0.000000
WBGene00200408	-	I	-	806419	806659	0.000000	0.000000	0.000000
WBGene00201436	-	I	+	806510	806659	0.000000	0.000000	0.000000
WBGene00202093	-	I	+	809294	809476	0.000000	0.000000	0.000000
WBGene00197978	-	I	-	812295	812442	0.000000	0.000000	0.000000
WBGene00195610	-	I	+	815976	816026	0.000000	0.000000	0.000000
WBGene00200506	-	I	+	816036	816306	0.184502	0.015358	0.020162
WBGene00197264	-	I	+	834416	834465	0.000000	0.000000	0.000000
WBGene00022517	-	I	+	837996	841746	105.758904	8.803205	11.557118
WBGene00022519	-	I	-	841742	846763	43.168404	4.001886	5.253799
WBGene00202359	-	I	+	846171	846491	0.000000	0.000000	0.000000
WBGene00022388	-	I	+	853451	872103	457.792786	38.105953	50.026669
WBGene00022389	-	I	-	873164	882713	179.408417	17.609493	23.118284
WBGene00022386	-	I	+	882918	890194	28.885572	3.541879	4.649888
WBGene00022390	-	I	-	889771	895105	147.741455	12.633270	16.585344
WBGene00220217	-	I	+	906339	906481	0.349650	0.029104	0.038209
WBGene00001678	-	I	+	897286	906077	388.307190	32.389187	42.521519
WBGene00022385	-	I	+	907448	911189	74.810387	6.227099	8.175127
WBGene00022391	-	I	-	912415	926877	24.206348	2.153711	2.827457
WBGene00201274	-	I	+	916168	916317	0.000000	0.000000	0.000000
WBGene00022383	-	I	+	938464	941773	237.607864	19.778105	25.965305
WBGene00003548	-	I	+	942257	947710	68.018761	5.661775	7.432952
WBGene00199411	-	I	-	942547	942652	0.000000	0.000000	0.000000
