Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
WBGene00023193	-	I	-	3747	3909	155.128830	295.341858	189.868759
WBGene00022277	-	I	-	4116	10230	0.000000	0.000000	0.000000
WBGene00022276	-	I	+	11495	16837	0.800000	1.525211	0.980525
WBGene00022278	-	I	-	17487	26781	4.068212	7.745261	4.979257
WBGene00235381	-	I	-	22882	23600	24.002781	45.697670	29.378019
WBGene00022279	-	I	-	27591	32544	22.212315	42.288891	27.186592
WBGene00170953	-	I	+	31523	31543	0.000000	0.000000	0.000000
WBGene00173569	-	I	+	32415	32435	0.000000	0.000000	0.000000
WBGene00022275	-	I	+	43733	44677	11.721312	22.315605	14.346210
WBGene00044345	-	I	+	47467	49857	0.220602	0.419993	0.270004
WBGene00021677	-	I	+	49919	54426	1.280341	2.437576	1.567064
WBGene00021678	-	I	-	55293	64066	64.741806	123.258621	79.240242
WBGene00000812	-	I	+	71425	81071	3.333438	6.351242	4.083073
WBGene00021682	-	I	+	91380	92877	0.000000	0.000000	0.000000
WBGene00021683	-	I	+	81193	91020	0.523810	1.016111	0.653235
WBGene00021679	-	I	-	84991	86293	205.722397	391.664368	251.792358
WBGene00021676	-	I	+	93024	94884	95.644424	182.092545	117.063263
WBGene00189949	-	I	-	94828	95367	0.000000	0.000000	0.000000
WBGene00021681	-	I	-	96544	108223	4.107865	7.820754	5.027790
WBGene00004274	-	I	-	108670	110107	15.386398	29.293379	18.832064
WBGene00004418	-	I	+	111038	112295	9.921628	18.889280	12.143501
WBGene00202494	-	I	-	111287	111436	1.320000	2.513081	1.615604
WBGene00023461	-	I	+	111292	111425	1.477612	2.813150	1.808512
WBGene00018774	-	I	+	112285	113721	0.000000	0.000000	0.000000
WBGene00018773	-	I	+	113807	114704	38.430882	73.166588	47.037182
WBGene00004962	-	I	+	118109	120870	0.000000	0.000000	0.000000
WBGene00000622	-	I	+	115739	117438	14.566112	27.731676	17.828081
WBGene00003229	-	I	+	127297	134065	0.409190	0.784616	0.504412
WBGene00018772	-	I	+	134337	137282	62.751400	119.469193	76.804100
WBGene00018771	-	I	+	137845	144565	0.209663	0.399167	0.256615
WBGene00000253	-	I	-	146486	154850	0.522667	0.995079	0.639714
WBGene00004225	-	I	-	160172	166819	0.000000	0.000000	0.000000
WBGene00018958	-	I	+	171340	175989	0.759322	1.527464	0.981973
WBGene00018957	-	I	+	178538	182161	0.000000	0.000000	0.000000
WBGene00018955	-	I	-	182079	182772	0.000000	0.000000	0.000000
WBGene00021666	-	I	+	209281	211732	0.000000	0.000000	0.000000
WBGene00000227	-	I	+	183364	208465	3.443590	6.556075	4.214756
WBGene00023295	-	I	+	185335	185409	0.893333	1.700771	1.093388
WBGene00004246	-	I	-	212256	215491	23.200075	44.169441	28.395555
WBGene00021662	-	I	+	216028	216996	47.658474	90.734543	58.331230
WBGene00255594	-	I	+	218060	219099	5.755274	10.957171	7.044124
WBGene00021664	-	I	-	219735	221575	200.245880	381.237915	245.089432
WBGene00021671	-	I	-	231692	238252	299.119629	569.478577	366.105164
WBGene00021672	-	I	-	238616	239021	822.889343	1566.656860	1007.169067
WBGene00021668	-	I	+	240491	245414	3.893914	7.413424	4.765926
WBGene00021673	-	I	-	248624	251580	838.348999	1596.089844	1026.090820
WBGene00220069	-	I	-	263502	263618	0.940171	1.789944	1.150715
WBGene00021667	-	I	+	252118	254277	28.953049	55.122231	35.436863
WBGene00021675	-	I	-	254277	259157	0.794033	1.511719	0.971851
WBGene00016903	-	I	+	283500	286115	0.000000	0.000000	0.000000
WBGene00016905	-	I	-	286088	289185	0.000000	0.000000	0.000000
WBGene00016902	-	I	+	291215	305468	0.163475	0.646675	0.415733
WBGene00235385	-	I	-	316637	318258	1.910966	3.638191	2.338912
WBGene00016906	-	I	-	305811	311130	3.166106	6.048222	3.888268
WBGene00002077	-	I	-	310981	314989	19.343397	36.826900	23.675201
WBGene00002079	-	I	-	318390	323352	9.985240	19.010389	12.221358
WBGene00021660	-	I	+	323855	330978	2.814238	5.357884	3.444465
