Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
WBGene00022277	-	I	-	4116	10230	0.000000	0.000000	0.000000
WBGene00023193	-	I	-	3747	3909	46.969326	737.517517	452.524292
WBGene00022276	-	I	+	11495	16837	0.000000	0.000000	0.000000
WBGene00022278	-	I	-	17487	26781	0.155514	2.441898	1.498294
WBGene00235381	-	I	-	22882	23600	3.414464	53.614288	32.896530
WBGene00022279	-	I	-	27591	32544	2.780331	43.657063	26.786999
WBGene00170953	-	I	+	31523	31543	0.000000	0.000000	0.000000
WBGene00173569	-	I	+	32415	32435	0.000000	0.000000	0.000000
WBGene00022275	-	I	+	43733	44677	1.502732	23.596064	14.478018
WBGene00044345	-	I	+	47467	49857	0.000000	0.000000	0.000000
WBGene00021677	-	I	+	49919	54426	0.000000	0.000000	0.000000
WBGene00021678	-	I	-	55293	64066	5.513668	86.576218	53.121235
WBGene00000812	-	I	+	71425	81071	0.625192	9.824387	6.028024
WBGene00021683	-	I	+	81193	91020	0.115546	1.848625	1.134275
WBGene00021679	-	I	-	84991	86293	21.199461	332.876251	204.245438
WBGene00021676	-	I	+	93024	94884	10.114784	158.823456	97.450523
WBGene00189949	-	I	-	94828	95367	0.000000	0.000000	0.000000
WBGene00021681	-	I	-	96544	108223	0.539326	8.468556	5.196117
WBGene00004274	-	I	-	108670	110107	1.394127	21.890734	13.431666
WBGene00004418	-	I	+	111038	112295	0.429268	6.740413	4.135767
WBGene00202494	-	I	-	111287	111436	0.000000	0.000000	0.000000
WBGene00023461	-	I	+	111292	111425	0.000000	0.000000	0.000000
WBGene00018774	-	I	+	112285	113721	0.000000	0.000000	0.000000
WBGene00171818	-	I	-	115656	115676	2.285714	35.890530	22.021629
WBGene00018773	-	I	+	113807	114704	4.581687	71.942146	44.142097
WBGene00000622	-	I	+	115739	117438	0.495593	7.781856	4.774773
WBGene00004962	-	I	+	118109	120870	0.128655	2.020155	1.239522
WBGene00003229	-	I	+	127297	134065	0.072210	1.141967	0.700686
WBGene00018772	-	I	+	134337	137282	2.528972	39.710197	24.365290
WBGene00018771	-	I	+	137845	144565	0.000000	0.000000	0.000000
WBGene00004225	-	I	-	160172	166819	0.000000	0.000000	0.000000
WBGene00000253	-	I	-	146486	154850	0.018876	0.296393	0.181860
WBGene00018958	-	I	+	171340	175989	0.000000	0.000000	0.000000
WBGene00018957	-	I	+	178538	182161	0.000000	0.000000	0.000000
WBGene00018955	-	I	-	182079	182772	0.000000	0.000000	0.000000
WBGene00021666	-	I	+	209281	211732	0.000000	0.000000	0.000000
WBGene00004246	-	I	-	212256	215491	3.731608	58.594116	35.952042
WBGene00000227	-	I	+	183364	208465	0.593448	9.318385	5.717554
WBGene00023295	-	I	+	185335	185409	0.293333	4.605947	2.826106
WBGene00255594	-	I	+	218060	219099	0.000000	0.000000	0.000000
WBGene00021662	-	I	+	216028	216996	7.092615	111.369019	68.333542
WBGene00021664	-	I	-	219735	221575	18.651661	292.870422	179.698746
WBGene00021671	-	I	-	231692	238252	38.696934	607.623535	372.824188
WBGene00021672	-	I	-	238616	239021	0.000000	0.000000	0.000000
WBGene00021668	-	I	+	240491	245414	0.773869	12.151376	7.455813
WBGene00021673	-	I	-	248624	251580	144.028458	2261.550537	1387.637085
WBGene00220069	-	I	-	263502	263618	1.692308	26.572805	16.304482
WBGene00016903	-	I	+	283500	286115	0.000000	0.000000	0.000000
WBGene00016905	-	I	-	286088	289185	0.000000	0.000000	0.000000
WBGene00016902	-	I	+	291215	305468	0.000000	0.000000	0.000000
WBGene00021667	-	I	+	252118	254277	4.717589	74.076103	45.451443
WBGene00021675	-	I	-	254277	259157	0.052936	0.831207	0.510010
WBGene00235385	-	I	-	316637	318258	0.119435	1.875381	1.150692
WBGene00016906	-	I	-	305811	311130	0.490716	7.731405	4.743817
