"","WB_ID","Chr","Strand","Start","End","Rlog2FC","Rpadj","Glog2FC","Gpadj","N2_A_R_TPM","N2_B_R_TPM","N2_C_R_TPM","N2_D_R_TPM","CB_A_R_TPM","CB_B_R_TPM","CB_C_R_TPM","CB_D_R_TPM","N2_A_G_TPM","N2_B_G_TPM","N2_C_G_TPM","N2_D_G_TPM","CB_A_G_TPM","CB_B_G_TPM","CB_C_G_TPM","CB_D_G_TPM","Annot","Anticorr","Direction","Query","Source","PID","AlnLen","Mismatch","TChr","TStart","TEnd"
"1","WBGene00000081","III","-",295651,298556,0.204486493552338,0.00261363650054693,3.24827308410602,6.12233743217978e-23,216.586182,203.207016,195.464447,194.559723,184.294571,181.214645,169.310883,171.972031,479.704773,693.354797,508.060089,637.387268,53.699203,54.385715,83.199318,53.293335,"ads-1 is an ortholog of human AGPS (alkylglycerone phosphate synthase; OMIM:603051) that is required for the biosynthesis of ether lipids; mutation of human AGPS leads to type 3 rhizomelic chondrodysplasia punctata (OMIM:600121).","NO","N2-high","NA","NA","NA","NA","NA","NA","NA","NA"
"2","WBGene00000088","I","-",14850054,14855827,0.747459900540134,1.4751248863247e-27,1.99188055282941,0.0044358904011107,14.189233,13.522828,13.294924,14.078177,8.135149,8.210382,8.590111,7.932837,14.222176,11.664251,20.888973,7.905251,2.547226,5.010708,4.909679,1.75538,"an ortholog of calcium-dependent serine endoproteinases, the kex2/subtilisin-like proprotein convertase that affects defecation cycle and anterior body contractions; and is expressed in all muscle cells except pharyngeal muscles.","NO","N2-high","Chr:IV_15429257_15429278_+","CBunique","94.118","17","1","I","14853250","14853266"
"3","WBGene00000092","X","-",5289728,5303512,-0.301362595533772,0.000660141926274052,-5.53354917537973,0.0226661070420515,12.586122,12.605305,15.13748,14.650354,16.875635,17.045872,14.972589,17.097689,0,0,0,0,0.409557,0.138345,0,0.329281,"ags-3 encodes a protein containing N-terminal TRP domains and C-terminal GPR domains that is a member of the Activator of G Protein Signaling 3 (AGS3) family of proteins that includes mammalian AGS3 and LPN and Drosophila RAPSYNOID; in C. elegans, AGS-3 is involved in polarity and spindle orientation during early embryogenesis; in addition, AGS-3, along with the RIC-8 guanine nucleotide exchange factor, has been shown to activate GOA-1/Galpha0 in the ASH chemosensory neurons to modulate behavior after food deprivation; full length AGS-3 binds inactive GOA-1 (GOA-1-GDP) in pull down assays, while AGS-3 fragments containing the GPR domains (also known as GoLoco domains) bind activated GOA-1 (GOA-1-GTP) in pull down assays and GOA-1 in yeast two-hybrid assays; AGS-3 is expressed in all muscles, intestine, and weakly in some head and ventral nerve cord neurons, with subcellular localization in strong dots; in adults, an ags-3 reporter fusion is seen in nearly all neurons, including the ASH chemosensory neurons, and in body wall muscle, egg-laying muscles, and pharyngeal muscles; AGS-3 subcellular localization is regulated by food deprivation: AGS-3 moves from a Triton X-100 insoluble pellet fraction to a Triton X-100 soluble pellet fraction after several hours of food deprivation.","NO","CB4856-high","Chr:IV_15533855_15533876_+","CBunique","94.118","17","1","X","5302957","5302941"
"4","WBGene00000214","V","-",19049461,19050825,0.298917325822915,0.00216594892669374,1.79586553513835,0.000273576270042478,2875.190674,2806.688965,2865.589355,3063.711182,2234.609131,2383.141113,2318.37793,2531.017334,9.490536,16.616518,25.0002,9.820517,3.003306,6.588717,3.997471,4.461812,"asp-1 encodes a homolog of cathepsin D aspartic protease; it is transcribed exclusively in intestinal cells of the late embryo and early larvae and is not observed in older larvae or adults; ASP-1 is dispensable for neuronal degeneration.","NO","N2-high","NA","NA","NA","NA","NA","NA","NA","NA"
"5","WBGene00000219","V","-",8267511,8268937,0.472934295288168,2.89670829496086e-13,1.50793176353714,0.000555558175762141,1393.378052,1450.036987,1389.429688,1472.573975,1009.138489,1022.221802,1049.731201,1044.01355,11.189929,11.953358,8.145844,9.37013,3.308501,3.659713,4.690493,3.315636,"aspartic protease.","NO","N2-high","Chr:IV_15523874_15523895_+","CBunique","94.444","18","1","V","8267555","8267538"
"6","WBGene00000443","III","+",6979884,6981785,-0.264522746458922,0.0142502060025587,2.734880117705,1.85894921379148e-12,16.866102,15.901954,15.666358,13.600022,18.583019,19.87702,19.733431,16.976545,175.22171,185.834457,333.929474,187.147476,30.055008,31.422174,41.024368,32.940636,"ceh-20 encodes one of three C. elegans homeodomain proteins (CEH-20, CEH-40, and CEH-60) homologous to Extradenticle (Exd/Pbx); together with ceh-40 and unc-62, ceh-20 activity is required for embryonic viability; ceh-20 is also required as a cofactor for LIN-39- and MAB-5- dependent postembryonic mesoderm patterning; in addition, ceh-20 is required for regulating post-embryonic migrations of the Q neuroblast descendants and for regulating vulval development; a CEH-20::GFP fusion protein is expressed in embryos and postembryonically in many cell types including the Q, P, and V cells and their descendants; CEH-20 localizes to the nucleus.","YES","CB4856-high","NA","NA","NA","NA","NA","NA","NA","NA"
"7","WBGene00000514","V","-",2106398,2109418,-0.556071628160492,2.60496672911788e-05,-1.2491271894589,5.68038236284535e-06,13.186772,12.092147,11.027267,10.083898,17.275135,16.778133,18.960554,14.860828,98.154724,146.280853,189.270584,122.277473,315.88324,385.405212,316.991852,350.167725,"ckb-4 encodes an isoform of choline kinase whose activity has been verified in vitro, and that has a strong preference for choline over ethanolamine; CKB-1 through CKB-4 comprise a related group ('B') of choline kinases.","NO","CB4856-high","Chr:IV_15716277_15716298_+","CBunique","94.118","17","1","V","2108150","2108134"
"8","WBGene00000543","III","-",4700325,4704054,0.191949308070556,0.0412248156957522,-2.33053050340027,0.0032248269680696,18.713177,21.674929,20.316216,21.043295,19.308466,18.363878,16.762926,17.530424,15.46162,43.061901,5.750802,59.72364,159.010971,128.138596,167.215714,166.381393,"clp-2 encodes a large calpain subunit that contains two predicted MIT (microtubule interacting and trafficking) domains and is homologous to the mammalian Calpain 7 proteins and the atypical, nuclear-localized Aspergillus calpain, PalB; by homology, CLP-2 is predicted to function as a calcium-dependent, cysteine protease that is involved in intracellular proteolysis and peptidolysis; however, as loss of clp-2 activity via RNA-mediated interference (RNAi) does not result in any obvious abnormalities, the precise role of CLP-2 in C. elegans development and/or behavior is not yet known.","YES","N2-high","Chr:IV_15429254_15429275_+","CBunique","94.118","17","1","III","4700890","4700906"
"9","WBGene00000546","IV","-",1431272,1435039,2.1639183398204,3.64063207498278e-115,-0.798915845360781,0.0155956004794702,12.283901,12.326084,12.989734,14.330565,3.022097,2.739902,2.980037,2.629538,46.233643,75.406036,87.855331,58.860336,101.289604,142.66008,125.774857,110.604706,"clp-6 encodes a calpain homolog that has significant identity to mammalian calpains over its whole length and that contains motifs typical of calpains, including a thiol (cysteine) protease active site and a Ca[2+]-binding domain; CLP-6 is not required for degenerative (necrotic-like) cell death in neurons induced by mutations such as mec-4(d), deg-3(d), or gsa-1(gf), since clp-6(RNAi) has no effect on such degeneration.","YES","N2-high","NA","NA","NA","NA","NA","NA","NA","NA"
"10","WBGene00000639","I","-",8243695,8244963,-0.825715078343529,0.00252181932931744,-5.11708430024135,7.01875117925035e-07,733.038879,692.903015,594.854126,287.368408,1011.096802,983.545654,1481.621704,943.107605,0,0.904914,0.347477,0.077108,10.372967,17.581282,14.45538,9.925492,"col-63 is an ortholog of human SFTPD (surfactant protein D) and COL26A1 (collagen type XXVI alpha 1 chain) and members of the COL (Collagens) family including COL9A1; col-63 is a structural constituent of cuticle, based on protein domain information.","NO","CB4856-high","NA","NA","NA","NA","NA","NA","NA","NA"
"11","WBGene00000647","II","-",3500077,3502449,-0.583684605533311,0.0462073731028002,1.23851521450075,8.98766473654805e-08,1224.991455,1220.023071,1086.293091,521.903259,1438.896973,1500.704224,2157.828613,1304.699707,333.295868,463.367157,291.481476,449.163025,137.93959,194.19722,158.198227,190.381027,"col-71 is an ortholog of human COLQ (collagen like tail subunit of asymmetric acetylcholinesterase) and COL5A2 (collagen type V alpha 2 chain); col-71 is a structural constituent of cuticle, based on protein domain information; col-71 is expressed in the hyp7 syncytium and the seam cell.","YES","CB4856-high","NA","NA","NA","NA","NA","NA","NA","NA"
"12","WBGene00000699","IV","+",11225505,11226519,-0.52187112364672,0.0117694781775143,5.46573947283431,0.0463121112714262,1289.583496,1216.057739,1187.542847,734.683716,1408.259277,1690.803223,1921.503418,1501.875854,1.328581,1.510176,0,0,0,0,0,0,"col-125 is an ortholog of human MARCO (macrophage receptor with collagenous structure); col-125 is involved in body morphogenesis, lipid storage, locomotion, nematode larval development and receptor-mediated endocytosis; col-125 is a structural constituent of cuticle, based on protein domain information.","YES","CB4856-high","NA","NA","NA","NA","NA","NA","NA","NA"
"13","WBGene00000730","V","+",11484032,11484998,-0.892309999871201,1.75706619286745e-06,0.776507084311111,0.0323974365531485,260.309174,212.321381,208.879654,133.999725,401.279846,364.885315,447.295074,366.644348,48.341454,56.856808,61.015053,45.267235,28.607513,31.186897,36.272419,32.569958,"col-157 is an ortholog of human MARCO (macrophage receptor with collagenous structure); col-157 is involved in body morphogenesis, embryo development, locomotion and nematode larval development; col-157 is a structural constituent of cuticle, based on protein domain information.","YES","CB4856-high","NA","NA","NA","NA","NA","NA","NA","NA"
"14","WBGene00000734","V","-",13317028,13318011,-0.645307592838524,3.29990729968152e-05,2.60555081305073,2.03595503466635e-06,820.56897,722.169739,716.86499,492.034485,1098.890747,1111.355225,1160.708374,1031.248047,3.288908,6.552076,2.035887,4.919361,0.507265,1.004006,0.791985,0.458814,"col-161 is an ortholog of human SFTPD (surfactant protein D) and COL26A1 (collagen type XXVI alpha 1 chain) and members of the COL (Collagens) family including COL9A1; col-161 is a structural constituent of cuticle, based on protein domain information.","YES","CB4856-high","NA","NA","NA","NA","NA","NA","NA","NA"
"15","WBGene00000735","V","+",13441967,13443402,-0.654482435135099,8.09350378872281e-05,2.36789418811694,3.9024121433558e-06,626.819824,538.334656,533.950562,358.679077,837.179688,837.52063,881.340759,766.398987,7.361666,10.776631,14.255182,6.897099,1.244599,1.70103,2.887699,1.737962,"col-162 is an ortholog of human SFTPD (surfactant protein D) and COL26A1 (collagen type XXVI alpha 1 chain) and members of the COL (Collagens) family including COL9A1; col-162 is a structural constituent of cuticle, based on protein domain information.","YES","CB4856-high","NA","NA","NA","NA","NA","NA","NA","NA"
"16","WBGene00000812","I","+",71425,81071,0.264028563434258,0.0174196537845418,2.40058586045282,8.3901396639027e-05,28.318512,33.242462,33.344456,34.747036,26.035677,27.826986,26.55072,27.118412,1.074699,4.083073,6.028024,2.928397,0.388174,1.01061,0.502532,0.715964,"csk-1 encodes an ortholog of C-terminal Src kinase (Csk) that probably inhibits SRC-like tyrosine kinases in pharyngeal muscle cells; the C-terminal tyrosines of the SRC-like kinases SRC-2/KIN-22 and SRC-1 are evolutionarily conserved, and phosphorylated by CSK-1, which inhibits SRC-2/KIN-22 and SRC-1 in vivo; csk-1 is co-expressed with src-2/kin-22 and src-1 in pharyngeal procorpus and metacorpus; csk-1(RNAi) animals are grossly normal, but overexpression of csk-1 induces an abnormal pharyngeal phenotype.","NO","N2-high","NA","NA","NA","NA","NA","NA","NA","NA"
"17","WBGene00000981","V","-",11045696,11046899,0.248119062988955,0.0134251528564091,-6.55069473946197,0.000957860416661542,46.476986,42.356476,39.372646,43.734283,36.505325,34.639683,36.967766,37.216972,0,0,0,0,0.409344,0.592601,1.203018,0.492086,"dhs-18 encodes a predicted short-chain dehydrogenase.","YES","N2-high","NA","NA","NA","NA","NA","NA","NA","NA"
