Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
WBGene00023193	-	I	-	3747	3909	111.509193	634.258118	289.258118
WBGene00022277	-	I	-	4116	10230	0.000000	0.000000	0.000000
WBGene00022276	-	I	+	11495	16837	0.338462	1.927849	0.879210
WBGene00022278	-	I	-	17487	26781	0.819039	4.658648	2.124611
WBGene00235381	-	I	-	22882	23600	7.680111	43.684048	19.922432
WBGene00022279	-	I	-	27591	32544	8.881248	50.516048	23.038218
WBGene00170953	-	I	+	31523	31543	0.000000	0.000000	0.000000
WBGene00173569	-	I	+	32415	32435	0.000000	0.000000	0.000000
WBGene00022275	-	I	+	43733	44677	4.628415	26.326168	12.006244
WBGene00044345	-	I	+	47467	49857	0.000000	0.000000	0.000000
WBGene00021677	-	I	+	49919	54426	0.000000	0.000000	0.000000
WBGene00021678	-	I	-	55293	64066	18.318233	104.193100	47.518036
WBGene00000812	-	I	+	71425	81071	0.413978	2.356499	1.074699
WBGene00021682	-	I	+	91380	92877	0.000000	0.000000	0.000000
WBGene00021683	-	I	+	81193	91020	0.130952	0.758931	0.346116
WBGene00021679	-	I	-	84991	86293	80.716026	459.108337	209.379730
WBGene00021676	-	I	+	93024	94884	19.406113	110.380898	50.340023
WBGene00189949	-	I	-	94828	95367	0.000000	0.000000	0.000000
WBGene00021681	-	I	-	96544	108223	2.215730	12.602949	5.747668
WBGene00004274	-	I	-	108670	110107	5.508501	31.332050	14.289213
WBGene00004418	-	I	+	111038	112295	4.798880	27.295767	12.448435
WBGene00202494	-	I	-	111287	111436	0.000000	0.000000	0.000000
WBGene00023461	-	I	+	111292	111425	0.000000	0.000000	0.000000
WBGene00018774	-	I	+	112285	113721	0.000000	0.000000	0.000000
WBGene00018773	-	I	+	113807	114704	9.360862	53.244068	24.282351
WBGene00000622	-	I	+	115739	117438	7.313418	41.598316	18.971220
WBGene00003229	-	I	+	127297	134065	0.000000	0.000000	0.000000
