Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
WBGene00023193	-	I	-	3747	3909	3.085890	0.284261	0.364666
WBGene00022277	-	I	-	4116	10230	227.220856	20.930752	26.851122
WBGene00022276	-	I	+	11495	16837	694.338745	70.962570	91.034698
WBGene00022278	-	I	-	17487	26781	283.255157	27.419920	35.175789
WBGene00235381	-	I	-	22882	23600	47.272614	4.354579	5.586295
WBGene00022275	-	I	+	43733	44677	1.459523	0.134446	0.172475
WBGene00022279	-	I	-	27591	32544	200.094666	18.431986	23.645571
WBGene00170953	-	I	+	31523	31543	7.642857	0.704032	0.903171
WBGene00173569	-	I	+	32415	32435	0.000000	0.000000	0.000000
WBGene00044345	-	I	+	47467	49857	182.210556	16.784569	21.532171
WBGene00021677	-	I	+	49919	54426	177.883621	21.271296	27.287992
WBGene00021678	-	I	-	55293	64066	23.244101	2.141161	2.746800
WBGene00000812	-	I	+	71425	81071	191.518723	20.295103	26.035677
WBGene00021683	-	I	+	81193	91020	118.651985	11.204563	14.373833
WBGene00021679	-	I	-	84991	86293	31.938007	2.942012	3.774176
WBGene00021682	-	I	+	91380	92877	215.856140	29.080036	37.305470
WBGene00021676	-	I	+	93024	94884	182.189163	16.782598	21.529642
WBGene00189949	-	I	-	94828	95367	111.089394	10.233149	13.127647
WBGene00021681	-	I	-	96544	108223	361.800232	33.364857	42.802280
WBGene00004962	-	I	+	118109	120870	70.278755	6.473822	8.304975
WBGene00004274	-	I	-	108670	110107	3596.738525	344.596222	442.067047
WBGene00199899	-	I	-	110551	110771	0.452489	0.041682	0.053471
WBGene00199597	-	I	+	110576	110724	0.671141	0.061823	0.079310
WBGene00004418	-	I	+	111038	112295	34868.585938	3304.551270	4239.260742
WBGene00202494	-	I	-	111287	111436	3.007920	0.277079	0.355452
WBGene00023461	-	I	+	111292	111425	2.867746	0.264166	0.338887
WBGene00018774	-	I	+	112285	113721	16.008307	1.747574	2.241884
WBGene00018773	-	I	+	113807	114704	197.314178	18.175859	23.316994
WBGene00171818	-	I	-	115656	115676	2.095238	0.193006	0.247598
WBGene00000622	-	I	+	115739	117438	3.086190	0.355058	0.455488
WBGene00003229	-	I	+	127297	134065	1149.989502	111.859085	143.499008
WBGene00018772	-	I	+	134337	137282	6.585045	0.606590	0.778167
WBGene00018771	-	I	+	137845	144565	13.303639	1.225482	1.572116
WBGene00000253	-	I	-	146486	154850	134.672318	12.405520	15.914486
WBGene00004225	-	I	-	160172	166819	265.283173	24.609325	31.570200
WBGene00201018	-	I	-	178232	178291	0.750000	0.069087	0.088629
