"","Drug","QTLregion","Gene_ID","Feature_ID","Gene_Name"
"1","Albendazole","IV:15429543-16403255","WBGene00013527","Y73F8A.22","NA"
"2","Albendazole","IV:15429543-16403255","WBGene00013528","Y73F8A.23","NA"
"3","Albendazole","IV:15429543-16403255","WBGene00013529","Y73F8A.24c","NA"
"4","Albendazole","IV:15429543-16403255","WBGene00013530","Y73F8A.25a","ntl-11"
"5","Albendazole","IV:15429543-16403255","WBGene00013531","Y73F8A.26","NA"
"6","Albendazole","IV:15429543-16403255","WBGene00013536","Y73F8A.32a","NA"
"7","Albendazole","IV:15429543-16403255","WBGene00013537","Y73F8A.33","NA"
"8","Albendazole","IV:15429543-16403255","WBGene00013538","Y73F8A.34a.1","tag-349"
"9","Albendazole","IV:15429543-16403255","WBGene00013539","Y73F8A.35a","NA"
"10","Albendazole","IV:15429543-16403255","WBGene00013632","Y105C5A.1","NA"
"11","Albendazole","IV:15429543-16403255","WBGene00004158","Y105C5A.3","pqn-76"
"12","Albendazole","IV:15429543-16403255","WBGene00077752","Y105C5A.508","NA"
"13","Albendazole","IV:15429543-16403255","WBGene00000028","Y105C5A.4","abu-5"
"14","Albendazole","IV:15429543-16403255","WBGene00004159","Y105C5A.5","pqn-78"
"15","Albendazole","IV:15429543-16403255","WBGene00004160","Y105C5A.6","pqn-79"
"16","Albendazole","IV:15429543-16403255","WBGene00013633","Y105C5A.8a","NA"
"17","Albendazole","IV:15429543-16403255","WBGene00013634","Y105C5A.9","NA"
"18","Albendazole","IV:15429543-16403255","WBGene00005176","Y105C5A.11","srg-19"
"19","Albendazole","IV:15429543-16403255","WBGene00013637","Y105C5A.13a","NA"
"20","Albendazole","IV:15429543-16403255","WBGene00013636","Y105C5A.12","NA"
"21","Albendazole","IV:15429543-16403255","WBGene00185102","Y105C5A.1268","NA"
"22","Albendazole","IV:15429543-16403255","WBGene00194913","Y105C5A.1272","NA"
"23","Albendazole","IV:15429543-16403255","WBGene00013639","Y105C5A.15b","NA"
"24","Albendazole","IV:15429543-16403255","WBGene00013640","Y105C5A.17","NA"
"25","Albendazole","IV:15429543-16403255","WBGene00194931","Y105C5A.1273","NA"
"26","Albendazole","IV:15429543-16403255","WBGene00013641","Y105C5A.22","NA"
"27","Albendazole","IV:15429543-16403255","WBGene00013642","Y105C5A.23","daf-38"
"28","Albendazole","IV:15429543-16403255","WBGene00194646","Y105C5A.1270","NA"
"29","Albendazole","IV:15429543-16403255","WBGene00194645","Y105C5A.1269","NA"
"30","Albendazole","IV:15429543-16403255","WBGene00013643","Y105C5A.24","NA"
"31","Albendazole","IV:15429543-16403255","WBGene00013645","Y105C5B.1","NA"
"32","Albendazole","IV:15429543-16403255","WBGene00001549","Y105C5B.2","gcy-25"
"33","Albendazole","IV:15429543-16403255","WBGene00013646","Y105C5B.3","NA"
"34","Albendazole","IV:15429543-16403255","WBGene00005725","Y105C5B.4","srv-14"
"35","Albendazole","IV:15429543-16403255","WBGene00013647","Y105C5B.5","NA"
"36","Albendazole","IV:15429543-16403255","WBGene00005726","Y105C5B.6a","srv-15"
"37","Albendazole","IV:15429543-16403255","WBGene00013649","Y105C5B.8","NA"
"38","Albendazole","IV:15429543-16403255","WBGene00013650","Y105C5B.9","NA"
"39","Albendazole","IV:15429543-16403255","WBGene00005727","Y105C5B.10","srv-16"
"40","Albendazole","IV:15429543-16403255","WBGene00013651","Y105C5B.11b","NA"
"41","Albendazole","IV:15429543-16403255","WBGene00004816","Y105C5B.13","skr-10"
"42","Albendazole","IV:15429543-16403255","WBGene00013653","Y105C5B.14","NA"
"43","Albendazole","IV:15429543-16403255","WBGene00013654","Y105C5B.15","NA"
"44","Albendazole","IV:15429543-16403255","WBGene00013655","Y105C5B.16","lgc-19"
"45","Albendazole","IV:15429543-16403255","WBGene00013656","Y105C5B.17","NA"
"46","Albendazole","IV:15429543-16403255","WBGene00013657","Y105C5B.18","NA"
"47","Albendazole","IV:15429543-16403255","WBGene00013658","Y105C5B.19","NA"
"48","Albendazole","IV:15429543-16403255","WBGene00013659","Y105C5B.20","NA"
"49","Albendazole","IV:15429543-16403255","WBGene00002175","Y105C5B.21a","jac-1"
"50","Albendazole","IV:15429543-16403255","WBGene00013661","Y105C5B.23","NA"
"51","Albendazole","IV:15429543-16403255","WBGene00013665","Y105C5B.29","hlh-32"
"52","Albendazole","IV:15429543-16403255","WBGene00013662","Y105C5B.25","NA"
"53","Albendazole","IV:15429543-16403255","WBGene00194929","Y105C5B.1413","NA"
"54","Albendazole","IV:15429543-16403255","WBGene00012416","Y7A9A.1","NA"
"55","Albendazole","IV:15429543-16403255","WBGene00010411","H25K10.1","NA"
"56","Albendazole","IV:15429543-16403255","WBGene00010412","H25K10.2","NA"
"57","Albendazole","IV:15429543-16403255","WBGene00005722","H25K10.3","srv-11"
"58","Albendazole","IV:15429543-16403255","WBGene00010413","H25K10.4","NA"
"59","Albendazole","IV:15429543-16403255","WBGene00010414","H25K10.5","hpa-1"
"60","Albendazole","IV:15429543-16403255","WBGene00010415","H25K10.6","irld-39"
"61","Albendazole","IV:15429543-16403255","WBGene00005808","H25K10.7a","srw-61"
"62","Albendazole","IV:15429543-16403255","WBGene00009535","F38C2.1","NA"
"63","Albendazole","IV:15429543-16403255","WBGene00001961","F38C2.2","hlh-17"
"64","Albendazole","IV:15429543-16403255","WBGene00009540","F38C2.8","hlh-31"
"65","Albendazole","IV:15429543-16403255","WBGene00009536","F38C2.4a","NA"
